Index,type of employ,position,Education
https://harris.uchicago.edu/directory/scott-ashworth,faculty,professor,No information
https://harris.uchicago.edu/directory/katherine-baicker,faculty,dean and emmett dedmon professor,No information
https://harris.uchicago.edu/directory/maria-angelica-bautista,faculty,assistant professor,No information
https://harris.uchicago.edu/directory/christopher-berry,faculty,william j. and alicia townsend friedman professor,No information
https://harris.uchicago.edu/directory/dan-black,faculty,professor,Purdue University
https://harris.uchicago.edu/directory/norman-bradburn,faculty,"tiffany and margaret blake distinguished service professor emeritus, senior fellow at norc",No information
https://harris.uchicago.edu/directory/john-burrows,faculty,senior lecturer,No information
https://harris.uchicago.edu/directory/thomas-coleman,faculty,senior lecturer,University of Chicago
https://harris.uchicago.edu/directory/steven-durlauf,faculty,steans professor in educational policy,Yale University
https://harris.uchicago.edu/directory/alexander-fouirnaies,faculty,assistant professor,London School of Economics
https://harris.uchicago.edu/directory/anthony-fowler,faculty,professor,No data this step
https://harris.uchicago.edu/directory/theaster-gates,faculty,senior advisor for cultural innovation and advisor to the dean,No data this step
https://harris.uchicago.edu/directory/michael-greenstone,faculty,"professor, director of the energy policy institute at the university of chicago (epic), director of the becker friedman institute (bfi)",No data this step
https://harris.uchicago.edu/directory/jeffrey-grogger,faculty,irving harris professor in urban policy,"University of California, San Diego"
https://harris.uchicago.edu/directory/john-mark-hansen,faculty,"charles l. hutchinson distinguished service professor, department of political science and the college",No data this step
https://harris.uchicago.edu/directory/james-heckman,faculty,"henry schultz distinguished service professor in the department of economics and the college; affiliate professor at harris public policy; director, center for social program evaluation",No data this step
https://harris.uchicago.edu/directory/william-howell,faculty,sydney stein professor in american politics,Stanford University
https://harris.uchicago.edu/directory/amir-jina,faculty,assistant professor,No information
https://harris.uchicago.edu/directory/james-leitzel,faculty,"senior lecturer and executive director, undergraduate program",No data this step
https://harris.uchicago.edu/directory/john-list,faculty,"associated faculty and academic director, center for impact sciences", University of Wyoming
https://harris.uchicago.edu/directory/jens-ludwig,faculty,edwin a. and betty l. bergman distinguished service professor,No data this step
https://harris.uchicago.edu/directory/luis-martinez,faculty,assistant professor,No data this step
https://harris.uchicago.edu/directory/susan-mayer,faculty,professor emeritus,No data this step
https://harris.uchicago.edu/directory/david-meltzer,faculty,professor,University of Chicago
https://harris.uchicago.edu/directory/alicia-menendez,faculty,research associate professor,Boston University.
https://harris.uchicago.edu/directory/robert-t-michael,faculty,"eliakim hastings moore distinguished service professor emeritus and dean emeritus; senior fellow, norc",No data this step
https://harris.uchicago.edu/directory/colm-omuircheartaigh,faculty,professor,No data this step
https://harris.uchicago.edu/directory/carolin-pflueger,faculty,assistant professor,Harvard
https://harris.uchicago.edu/directory/tomas-philipson,faculty,daniel levin professor of public policy emeritus,No information
https://harris.uchicago.edu/directory/guillaume-pouliot,faculty,assistant professor,Harvard
https://harris.uchicago.edu/directory/stephen-raudenbush,faculty,"lewis-sebring distinguished service professor, department of sociology and the college; chair, committee on education",No data this step
https://harris.uchicago.edu/directory/james-robinson,faculty,"the reverend dr. richard l. pearson professor of global conflict studies; institute director, the pearson institute for the study and resolution of global conflicts",No data this step
https://harris.uchicago.edu/directory/robert-rosner,faculty,"william e. wrather distinguished service professor, astronomy & astrophysics and physics",Harvard
https://harris.uchicago.edu/directory/raaj-sah,faculty,professor,University of Pennsylvania
https://harris.uchicago.edu/directory/raul-sanchez-de-la-sierra,faculty,assistant professor,No information
https://harris.uchicago.edu/directory/konstantin-sonin,faculty,john dewey distinguished service professor,Moscow State University
https://harris.uchicago.edu/directory/rebecca-wolfe,faculty,senior lecturer and executive director of international policy & development,No information
https://harris.uchicago.edu/directory/rene-bautista,lecturer,"lecturer, sr research methodologist, norc",No information
https://harris.uchicago.edu/directory/kennette-benedict,lecturer,lecturer,Stanford University
https://harris.uchicago.edu/directory/john-boller,lecturer,"senior lecturer, department of mathematics",No data this step
https://harris.uchicago.edu/directory/jake-braun,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/chad-broughton,lecturer,instructional professor,No data this step
https://harris.uchicago.edu/directory/quoctrung-bui,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/wil-burns,lecturer,lecturer,University of Wales-Cardiff School of Law
https://harris.uchicago.edu/directory/kari-chisholm,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/chris-clapp,lecturer,assistant instructional professor,University of Virginia
https://harris.uchicago.edu/directory/rupa-datta,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/shelley-davis,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/tom-day,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/danielle-dumerer,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/sean-durkin,lecturer,"lecturer; vice president, charles river associates",No data this step
https://harris.uchicago.edu/directory/robert-goerge,lecturer,lecturer; senior fellow; senior advisor for masters program in computational analysis and public policy,No data this step
https://harris.uchicago.edu/directory/will-gossin,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/clayton-harris,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/thomas-hazinski,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/caroline-johnson,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/dan-judy,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/navin-kumar,lecturer,assistant instructional professor,No data this step
https://harris.uchicago.edu/directory/heddy-lahmann,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/catina-latham,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/jeff-levy,lecturer,assistant instructional professor,American University
https://harris.uchicago.edu/directory/sheng-hao-lo,lecturer,assistant instructional professor,University of Chicago
https://harris.uchicago.edu/directory/laurence-e-lynn-jr,lecturer,"the sydney stein, jr. professor of public management emeritus",No information
https://harris.uchicago.edu/directory/jon-mchenry,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/ethan-michaeli,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/michael-miklaucic,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/anita-nikolich,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/matt-niksch,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/michael-nutter,lecturer,senior fellow,No data this step
https://harris.uchicago.edu/directory/david-orr,lecturer,"lecturer and senior fellow; founder, good government illinois",No data this step
https://harris.uchicago.edu/directory/robert-owens,lecturer,lecturer,University of Chicago
https://harris.uchicago.edu/directory/john-oxtoby,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/michael-quigley,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/seth-rachlin,lecturer,lecturer,Columbia University.
https://harris.uchicago.edu/directory/quinn-rallins,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/miguel-santos,lecturer,lecturer,No information
https://harris.uchicago.edu/directory/dave-schabes,lecturer,assistant instructional professor,No data this step
https://harris.uchicago.edu/directory/mareike-schomerus,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/sabina-shaikh,lecturer,senior lecturer,No data this step
https://harris.uchicago.edu/directory/donnan-steele,lecturer,lecturer,MIT
https://harris.uchicago.edu/directory/anant-sudarshan,lecturer,lecturer,No data this step
https://harris.uchicago.edu/directory/daniel-sullivan,lecturer,"lecturer; executive vice president, federal reserve bank of chicago",No data this step
https://harris.uchicago.edu/directory/michael-tiboris,lecturer,lecturer,"University of California, San Diego"
https://harris.uchicago.edu/directory/william-towns,lecturer,lecturer,Benedictine University
https://harris.uchicago.edu/directory/christa-velasquez,lecturer,"lecturer, undergraduate program",No data this step