Index,Person,Link,Education
1,Eman Abdelhadi,https://humdev.uchicago.edu/directory/eman-abdelhadi,"PhD, Sociology, NYU"
2,Jennifer Cole,https://humdev.uchicago.edu/directory/jennifer-cole,Couldn't find
3,Robert Vargas,https://socialsciences.uchicago.edu/directory/robert-vargas,Couldn't find
4,Marissa Casillas,https://humdev.uchicago.edu/directory/marisa-casillas,Couldn't find
5,Elizabeth Chatterjee,https://socialsciences.uchicago.edu/directory/elizabeth-chatterjee,Couldn't find
6,Joyce Bell,https://socialsciences.uchicago.edu/directory/joyce-bell,Couldn't find
7,Leonard Binder,https://socialsciences.uchicago.edu/directory/leonard-binder,Couldn't find
8,Norman Bradburn,https://socialsciences.uchicago.edu/directory/norman-bradburn,Couldn't find
9,Wendy Doniger,https://socialsciences.uchicago.edu/directory/wendy-doniger,Couldn't find
10,Edward Awh,https://psychology.uchicago.edu/directory/edward-s-awh,"Phd, Psychology, University of Michigan"
11,Molly Cunningham,https://socialsciences.uchicago.edu/directory/molly-cunningham,Couldn't find
12,Micere Keels,https://humdev.uchicago.edu/directory/micere-keels,Couldn't find
13,Dario Maestripieri,https://humdev.uchicago.edu/directory/dario-maestripieri,"Phd, Phychobiology, Universita di Roma Lapienza"
14,Tasneem Madviwala,https://humdev.uchicago.edu/directory/tasneem-mandviwala,"Phd, University of Chicago"
15,Benjamin Jeffery,https://socialsciences.uchicago.edu/directory/benjamin-jeffery,Couldn't find
16,Mark Payne,https://socialthought.uchicago.edu/directory/mark-payne,"Phd, Classics, Columbia University"
17,Robert Pippin,https://socialthought.uchicago.edu/directory/robert-b-pippin,"PhD, Philosophy, Pennsylvania State"
18,Gary Herrigel,https://political-science.uchicago.edu/directory/gary-herrigel,"PhD, Political Science, MIT"
19,Emily Talen,https://socialsciences.uchicago.edu/directory/emily-talen,Couldn't find
20,Robert Dreeben,https://socialsciences.uchicago.edu/directory/robert-dreeben,Couldn't find
21,Irene Elkin,https://socialsciences.uchicago.edu/directory/irene-elkin,Couldn't find
22,Edgar Epps,https://socialsciences.uchicago.edu/directory/edgar-g-epps,Couldn't find
23,Paul Poast,https://socialsciences.uchicago.edu/directory/paul-poast,"PhD, University of Michigan"
24,Stephan Palmie,https://socialsciences.uchicago.edu/directory/stephan-palmie,"PhD, University of Munich"
25,Parusa Mostajir,https://voices.uchicago.edu/pmostajir/,"PhD, University of Chicago"
26,Salikoko Mufwene,https://socialsciences.uchicago.edu/directory/salikoko-mufwene-0,"PhD, University of Chicago"
27,Stephen Stigler,https://socialsciences.uchicago.edu/directory/stephen-stigler,"PhD, Statistics, UC Berkley"
28,Eugene Raikhel,https://socialsciences.uchicago.edu/directory/eugene-raikhel,Couldn't find
29,Oliver Cussen,https://socialsciences.uchicago.edu/directory/oliver-cussen,Couldn't find
30,Robert Kaminski,https://socialsciences.uchicago.edu/directory/robert-kaminski,"PhD, University of Chicago"
31,Christopher Kindell,https://socialsciences.uchicago.edu/directory/christopher-kindell,Couldn't find
32,Daniel Knorr,https://socialsciences.uchicago.edu/directory/daniel-knorr,Couldn't find
33,Zachary Leonard,https://socialsciences.uchicago.edu/directory/zachary-leonard,"PhD, University of Chicago"
34,Lara Jansen,https://socialsciences.uchicago.edu/directory/lara-janson,Couldn't find
35,Nick Judd,https://socialsciences.uchicago.edu/directory/nick-judd,"PhD, University of Chicago"
36,Peter Hull,https://socialsciences.uchicago.edu/directory/peter-hull',Couldn't find
37,Kimberly Hoang,https://socialsciences.uchicago.edu/directory/kimberly-hoang,"PhD, UC Berkley"
38,Kristen Schilt,https://socialsciences.uchicago.edu/directory/kristen-schilt,"PhD, UCLA"
39,Nancy Munn,https://socialsciences.uchicago.edu/directory/nancy-d-munn,Couldn't find
40,Raymond Fogelson,https://socialsciences.uchicago.edu/directory/raymond-fogelson,Couldn't find
41,Shiela Fitzpatrick,https://socialsciences.uchicago.edu/directory/sheila-fitzpatrick,"PhD, Oxford"
42,Michael Geyer,https://socialsciences.uchicago.edu/directory/michael-e-geyer,"PhD, Albert Ludwigs Universität Freiburg"
43,Duncan Snidel,https://socialsciences.uchicago.edu/directory/duncan-snidal,Couldn't find
44,William Goldstein,https://socialsciences.uchicago.edu/directory/william-goldstein,Couldn't find
45,Jerre Levy,https://socialsciences.uchicago.edu/directory/jerre-levy,Couldn't find
46,Frederick Lighthall,https://socialsciences.uchicago.edu/directory/frederick-lighthall,Couldn't find
47,Martha McClintock,https://socialsciences.uchicago.edu/directory/martha-k-mcclintock,Couldn't find
48,Glenn McNeill,https://socialsciences.uchicago.edu/directory/glenn-mcneill,"PhD, UC Berkley"
49,Nancy Lou Stein,https://socialsciences.uchicago.edu/directory/nancy-lou-stein,Couldn't find
50,Leon Kass,https://socialsciences.uchicago.edu/directory/leon-r-kass,Couldn't find